,0
133,0.039691647
134,0.040673782
135,0.041261337
136,0.04035427
137,0.040105805
138,0.038870087
139,0.039972197
140,0.041379148
141,0.041902243
142,0.041912851
143,0.04143153
144,0.041226799
145,0.041427608
146,0.041673121
147,0.040985032
148,0.039586965
149,0.039602009
150,0.038642222
151,0.039108531
152,0.040022221
153,0.040379897
154,0.040358497
155,0.04092616
156,0.040497419
157,0.040222687
158,0.040698632
159,0.04085018
160,0.041512076
161,0.042429883
162,0.04245643
163,0.042971503
164,0.042564002
165,0.042001463
166,0.042226958
167,0.042233253
168,0.042513296
169,0.041561377
170,0.04166211
171,0.042082039
172,0.042584205
173,0.04253148
174,0.042599243
175,0.042883965
176,0.043442006
177,0.043648635
178,0.043001361
179,0.044679123
180,0.044618891
181,0.045286618
182,0.046680639
183,0.047945492
184,0.046448909
185,0.046024041
186,0.044967667
187,0.044970161
188,0.045239179
189,0.044906745
190,0.043590196
191,0.043649418
192,0.043603483
193,0.043310534
194,0.044058584
195,0.043467348
196,0.043852176
197,0.043828928
198,0.043040446
199,0.042973882
200,0.042357167
201,0.042850458
202,0.04308516
203,0.042834984
204,0.043250267
205,0.041994191
206,0.041096957
207,0.0401967
208,0.040314694
209,0.039686424
210,0.039983391
211,0.039765686
212,0.038278406
213,0.038959198
214,0.038088846
215,0.039188996
216,0.039782109
217,0.039284296
218,0.038701982
219,0.037510211
220,0.038601706
221,0.037638484
222,0.037313725
223,0.037186287
224,0.036872739
225,0.037788528
226,0.037298167
227,0.036268873
228,0.036262391
229,0.037246176
230,0.037014927
231,0.037509516
232,0.039103897
233,0.039622557
234,0.040575702
235,0.042143755
236,0.043032589
237,0.044856146
238,0.047460253
239,0.048918053
240,0.053338691
241,0.056953218
242,0.060694622
243,0.06437066
244,0.068057453
245,0.071121058
246,0.075569634
247,0.078703052
248,0.08213858
249,0.087373993
250,0.092172362
251,0.096371634
252,0.099677986
253,0.10282548
254,0.10670638
255,0.10941413
256,0.11348253
257,0.11601583
258,0.12021431
259,0.12211912
260,0.12325953
261,0.12446055
262,0.12624392
263,0.12894369
264,0.12779956
265,0.12931187
266,0.12775633
267,0.12708666
268,0.12685637
269,0.12587187
270,0.12641551
271,0.12455144
272,0.1234073
273,0.12154373
274,0.1179148
275,0.11617213
276,0.11315447
277,0.1108251
278,0.10865602
279,0.10642936
280,0.10441164
281,0.10244829
282,0.099622779
283,0.096064472
284,0.092415398
285,0.088578045
286,0.087675743
287,0.085733445
288,0.081903095
289,0.077931562
290,0.075440394
291,0.071487767
292,0.068169675
293,0.064528262
294,0.06216838
295,0.058879392
296,0.055427572
297,0.054697151
298,0.053803414
299,0.053098182
300,0.053383868
301,0.052770523
302,0.053065254
303,0.055424665
304,0.056398488
305,0.058028393
306,0.059674097
307,0.061374174
308,0.063366607
309,0.065656062
310,0.070062518
311,0.073634146
312,0.076192677
313,0.078877119
314,0.081112084
315,0.083297229
316,0.084528556
317,0.087848006
318,0.090387266
319,0.09224866
320,0.093298129
321,0.092884543
322,0.094034928
323,0.093677777
324,0.091984081
325,0.090866334
326,0.089215709
327,0.086916715
328,0.085198397
329,0.083160963
330,0.079459489
331,0.076007989
332,0.072098543
333,0.06757415
334,0.064007138
335,0.060778897
336,0.058097963
337,0.054030191
338,0.051961738
339,0.0502932
340,0.049175129
341,0.04867293
342,0.047410994
343,0.04770239
344,0.047819302
345,0.046507264
346,0.045341089
347,0.04609242
348,0.044919966
349,0.045083629
350,0.044960991
